metric,value,as_of_date
cycle_high_close_usd,5318.4,2026-01-29
cycle_high_date,2026-01-29,2026-01-29
intraday_high_usd,5586.2,2026-01-29
latest_close_usd_gc,4098.6,2026-07-31
drawdown_from_cycle_high_pct,-22.94,2026-07-31
ret_3m_pct,-11.18,2026-07-31
ret_6m_pct,-13.05,2026-07-31
ret_12m_pct,24.46,2026-07-31
total_ret_since_2021-01-04_pct,110.76,2026-07-31
crisis2008_peak_close_usd,1003.2,2008-03-18
crisis2008_trough_close_usd,704.9,2008-11-13
crisis2008_max_drawdown_pct,-29.73,2008-11-13
crisis2008_days_peak_to_trough,240,2008-11-13
crisis2008_days_trough_to_recovery,302,2009-09-11
crisis2008_trough_fwd_1y_pct,58.33,2009-11-13
crisis2008_trough_fwd_2y_pct,93.7,2010-11-13
crisis2008_trough_fwd_3y_pct,153.58,2011-11-13
crisis2008_peak_fwd_1y_pct,-11.41,2009-03-18
crisis2008_peak_fwd_2y_pct,12.38,2010-03-18
ret_corr_gc_tnx_2008_window_2007-2012,-0.02,2012-12-28
ret_corr_gc_dxy_2008_window_2007-2012,-0.38,2012-12-28
ret_corr_gc_spy_2008_window_2007-2012,0.03,2012-12-28
lvl_corr_gc_tnx_2008_window_2007-2012,-0.85,2012-12-28
lvl_corr_gc_dxy_2008_window_2007-2012,-0.18,2012-12-28
ret_corr_gc_tnx_current_2021-2026,-0.24,2026-07-31
ret_corr_gc_dxy_current_2021-2026,-0.39,2026-07-31
ret_corr_gc_spy_current_2021-2026,0.11,2026-07-31
lvl_corr_gc_tnx_current_2021-2026,0.52,2026-07-31
lvl_corr_gc_dxy_current_2021-2026,-0.08,2026-07-31
ret_corr_gc_spy_2008-09-15_to_2008-10-31,-0.22,2008-10-31
ret_corr_gc_dxy_2008-09-15_to_2008-10-31,-0.4,2008-10-31
oct2008_monthly_return_gc_pct,-18.01,2008-10-31
oct2008_monthly_return_spy_pct,-16.52,2008-10-31
oct2008_monthly_return_dxy_pct,7.78,2008-10-31
gc_drawdown_2008-09-15_to_2008-11-30_pct,-22.02,2008-11-13
sgld_longName,Invesco Physical Gold ETC,2026-07-31
sgld_currency,USD,2026-07-31
sgld_quoteType,EQUITY,2026-07-31
sgld_exchange,LSE,2026-07-31
sgld_latest_close_usd,388.35,2026-07-31
sgld_1y_return_pct,22.26,2026-07-31
sgld_52w_high_usd,509.85,2026-03-02
sgld_52w_low_usd,317.63,2025-07-31
sgld_ytd_pct,-6.38,2026-07-31
sgld_ytd_base_close_2025-12-31_usd,414.82,2025-12-31
sgld_fast_info_last_price_usd,388.35,2026-07-31
gld_latest_close_usd,371.54,2026-07-31
gld_1y_return_pct,20.81,2026-07-31
gld_ytd_pct,-6.25,2026-07-31
gld_52w_high_usd,495.9,2026-07-31
gld_52w_low_usd,300.96,2026-07-31
gcf_1y_return_pct,24.46,2026-07-31
gcf_52w_high_usd,5318.4,2026-01-29
gcf_52w_low_usd,3293.2,2026-07-31
gbpusd_latest,1.3487,2026-07-31
gbpusd_1y_ago,1.3258,2025-07-31
gbpusd_1y_change_pct,1.73,2026-07-31
gbpusd_52w_high,1.3825,2026-01-29
gbpusd_52w_low,1.3022,2025-11-05
